Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Schriftliche Anfrage betreffend bezahlbaren Wohnraum in Wädenswil,Anfrage,Erledigt,16. November 2018,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Erstunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Karin Signer', 'Judith Fürst']"
Postulat betreffend Pflege des kulturellen Erbes Wädenswil,Postulat,Beantwortet,12. Juli 2010,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']"
Schriftliche Anfrage betreffend Ungereimtheiten in Zusammenhang mit der Sanierung der Garderobe im Hallenbad Untermosen,Kleine Anfrage,Beantwortet,12. November 2009,['FDP-Fraktion'],['FDP-Fraktion']
Schriftliche Anfrage betreffend der Wasserqualität des Mittelortbach / Einleitbedingungen in den Ausee,Anfrage,Erledigt,25. Oktober 2018,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']"
Postulat betreffend CO2-Reduktionsprogramm,Postulat,Beantwortet,7. März 2007,['GP-Fraktion'],['GP-Fraktion']
Postulat betreffend der öffentlichen Nutzung des Tiefenhofwalds,Postulat,Beantwortet,9. März 2009,['GP-Fraktion'],['GP-Fraktion']
Postulat betreffend Prüfung der Einsetzung eines Sozialinspektors,Postulat,Beantwortet,23. April 2008,['SVP-Fraktion'],['SVP-Fraktion']
Postulat betreffend Rufbus für den Wädenswiler Berg,Postulat,Abgeschrieben,9. Oktober 2015,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
Postulat betreffend der Anschaffung von Elektro-Müllsauger,Postulat,Beantwortet,18. Mai 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Interpellation betreffend Cyber-Sicherheit der Gemeinde Wädenswil,Interpellation,Erledigt,14. Januar 2022,"[' Höhener Patrick', ' Baer Charlotte', ' Gall Ursula', ' Hauser Urs', ' Koch Thomas', ' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Rasper Nicolas', ' Reiter Ulrich', ' Roth Hans', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Utiger Joël', ' Willi Daniel', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Ulrich Eckl (Mitunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Rita Hug (Mitunterzeichner/in)\n Katarina Oehlin (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Höhener Patrick', 'Baer Charlotte', 'Gall Ursula', 'Hauser Urs', 'Koch Thomas', 'Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Rasper Nicolas', 'Reiter Ulrich', 'Roth Hans', 'Schafflützel Roman', 'Schüpbach Nadia', 'Utiger Joël', 'Willi Daniel', 'Zürrer André', 'Roy Schärer', 'Ulrich Eckl', 'Martin Schlatter', 'Pascal Rubin', 'Bruno Zürcher', 'Rita Hug', 'Katarina Oehlin', 'Claudia Bühlmann', 'Pierre Rappazzo', 'Karin Signer', 'Ernst Grand', 'Judith Fürst', 'Hanspeter Andreoli', 'Sandy Bossert', 'Lukas Wiederkehr', 'Christian Nufer', 'Edith Höhn', 'Gabi Bachmann']"
