Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Wirtschaftsstrategie für Adliswil,Motion,Abgeschrieben,2020-06-03,"[' Senn Mario', ' Buchmann Reto', ' Clesle Hanspeter', ' Frei Daniel', '', 'Daniela Morf (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '']","['Senn Mario', 'Buchmann Reto', 'Clesle Hanspeter', 'Frei Daniel', 'Daniela Morf', 'Walter Uebersax']"
Anpassung der Entschädigung für Behördenmitglieder,Motion,Erledigt,2015-07-02,,
Sammlung von Plastikabfällen aller Art auf dem Stadtgebiet und Zuführung der Wiederverwertung,Interpellation,Beantwortet,2021-03-08,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']"
Steuerstatistik veröffentlichen,Interpellation,Beantwortet,2018-09-06,"[' Buchmann Reto', 'Dr. Helbling Silvia', ' Senn Mario']","['Buchmann Reto', 'Helbling Silvia', 'Senn Mario']"
Verkehrsproblematik Schönauweg,Interpellation,Beantwortet,2021-04-01,"[' Baldegger Harry', ' Corrodi Bernie', ' Frei Daniel', ' Melliger Heinz']","['Baldegger Harry', 'Corrodi Bernie', 'Frei Daniel', 'Melliger Heinz']"
Chancengleichheit bei Stellenbesetzungen in der Stadt- und Schulverwaltung,Anfrage,Beantwortet,2020-06-15,[' Muthuthamby Kannathasan'],['Muthuthamby Kannathasan']
"Aufwertung des Zentrum durch Kauf, Neubau und Verkauf von Liegenschaften an der Ablisstrasse",Postulat,Abgelehnt,2023-03-08,"[' Buchmann-Bach Vera', ' Geissler Heinz', ' Schweizer Rolf']","['Buchmann-Bach Vera', 'Geissler Heinz', 'Schweizer Rolf']"
Neun Zivilschutzanlagen gehen zurück an die Gemeinden,Anfrage,Beantwortet,2017-02-22,['Heidi Jucker (Verfasser/in)'],['Heidi Jucker']
Aufwand für Förderung und Angebot von Kindern mit besonderen pädagogischen Bedürfnissen,Interpellation,Beantwortet,2017-03-09,"[' Jacomet Renato', ' Künzler Urs', '', 'Hedwig Habersaat (Mitunterzeichner/in)\n Mario F. Salomon (Erstunterzeichner/in)\n Heidi Jucker (Mitunterzeichner/in)\n Daniela Morf (Mitunterzeichner/in)\n Erwin Lauper (Mitunterzeichner/in)', '', '', '', '']","['Jacomet Renato', 'Künzler Urs', 'Hedwig Habersaat', 'Mario F. Salomon', 'Heidi Jucker', 'Daniela Morf', 'Erwin Lauper']"
Stadtsaal,Anfrage,Beantwortet,2023-07-23,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang']
