Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Interpellation betreffend Abbau von öffentlichen Parkplätzen,Interpellation,Erledigt,2019-06-12,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",465
"Schriftliche Anfrage betreffend Stand Vermarktung ""Werkstadt Zürisee""",Anfrage,Beantwortet,2016-06-10,"[' Koch Thomas', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Pascal Rubin (Mitunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '', '', '']","['Koch Thomas', 'Ivano Coduri', 'Erich Schärer', 'Pascal Rubin', 'Pierre Rappazzo', 'Hanspeter Andreoli', 'Christian Nufer']",466
Postulat betreffend Spielplatz mit Café im Untermosen,Postulat,Erledigt,2017-11-07,"['Patrik Mouron (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Erstunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",467
Postulat betreffend Solarzellen auf dem ARA-Neubau,Postulat,,2009-05-06,['GP-Fraktion'],['GP-Fraktion'],468
"Interpellation betreffend Vorbereitung der Stadt Wädenswil auf mögliche ""Blackouts"" im Winter",Interpellation,Erledigt,2022-09-02,"[' Schafflützel Roman', ' Koch Thomas', ' Lüthi Beat', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Schafflützel Roman', 'Koch Thomas', 'Lüthi Beat', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",469
Schriftliche Anfrage zur Erstellung eines Solarkataster in Wädenswil,Kleine Anfrage,Beantwortet,2012-07-09,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",470
Interpellation betreffend Sozialhilfe in der Stadt Wädenswil,Interpellation,Beantwortet,2008-04-15,['BFPW-Fraktion'],['BFPW-Fraktion'],471
Schriftliche Anfrage betreffend Buslinienführung,Kleine Anfrage,Beantwortet,2009-03-09,['CVP-Fraktion'],['CVP-Fraktion'],472
Schriftliche Anfrage betreffend Zusammenarbeit der Primarschule Wädenswil mit der Oberstufenschulgemeinde Wädenswil-Schönenberg-Hütten,Kleine Anfrage,Beantwortet,2006-12-14,['Walter Münch (Verfasser/in)'],['Walter Münch'],473
Postulat betreffend Badewasserqualität Bachgadenweiher,Postulat,Beantwortet,2007-01-14,['SVP-Fraktion'],['SVP-Fraktion'],474
Interpellation betreffend Projektidee eines Hochhauses am Gerbeplatz,Interpellation,Beantwortet,2009-03-31,['CVP-Fraktion'],['CVP-Fraktion'],475
Postulat betreffend Label Energiestadt,Postulat,Beantwortet,2008-03-31,"['Heinz Wiher, Grüne\n Astrid Furrer, FDP', '']","['Heinz Wiher', 'Astrid Furrer']",476
Schriftliche Anfrage zur Einbürgerung von ausländischen Einwohnerinnen und Einwohnern,Anfrage,Beantwortet,2017-07-16,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",477
Interpellation betreffend saubere Chilbi,Interpellation,Beantwortet,2012-07-04,"[' Baer Charlotte', '', 'Kuno Spirig\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Kuno Spirig', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",478
Interpellation betreffend Werkstadt Zürisee,Interpellation,Erledigt,2022-06-24,"[' Lüthi Beat', ' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Lüthi Beat', 'Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",479
Interpellation betreffend Unterschriftensammlung in Wädenswil,Interpellation,Beantwortet,2009-05-14,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],480
"Schriftliche Anfrage betreffend ""Stadtmelder""",Anfrage,Beantwortet,2017-10-12,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",481
Schriftliche Anfrage betreffend Verkehrssicherheit an der Speerstrasse,Anfrage,Erledigt,2013-11-29,"['Heinz Wiher, GP']",['Heinz Wiher'],482
Postulat betreffend Schuldenbremse,Postulat,Abgeschrieben,2013-04-10,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",483
Interpellation betreffend nachhaltige Finanzplanung,Interpellation,Erledigt,2019-07-12,['Christian Gross (Erstunterzeichner/in)'],['Christian Gross'],484
Postulat betreffend Landschaftsentwicklungskonzept (LEK),Postulat,Beantwortet,2010-05-15,[' Erni Jonas'],['Erni Jonas'],485
Interpellation betreffend weniger Verkehr auf der Neuguetstrasse,Interpellation,Erledigt,2020-06-23,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",486
Postulat betreffend erste halbe Stunde gratis parkieren,Postulat,Nicht überwiesen,2009-12-14,['SVP-Fraktion'],['SVP-Fraktion'],487
Schriftliche Anfrage betreffend Ladenöffnungszeiten,Anfrage,Beantwortet,2010-09-01,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']",488
Postulat betreffend Stadtratsbeschlüsse aktiv publizieren,Postulat,Erledigt,2018-03-12,['Judith Fürst (Erstunterzeichner/in)'],['Judith Fürst'],489
Interpellation betreffend Umnutzung der städtischen Liegenschaft Etzelstrasse 6 für günstigen Wohnraum für Familien,Interpellation,Erledigt,2014-09-01,"[' Baer Charlotte', ' Koch Thomas', ' Stucki Adrian', '', 'Sachkommission\n Rahel Sonderegger (keine Funktion)\n Andreas Gut (keine Funktion)\n Edith Brunner (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '', '', '']","['Baer Charlotte', 'Koch Thomas', 'Stucki Adrian', 'Sachkommission', 'Rahel Sonderegger', 'Andreas Gut', 'Edith Brunner', 'Hanspeter Andreoli']",490
Interpellation betreffend neuem Busfahrplan,Interpellation,Erledigt,2014-09-01,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",491
Postulat betreffend Schaffung eines Zukunftsrats für die Stadt Wädenswil,Postulat,Abgeschrieben,2018-02-27,"[' Reiter Ulrich', ' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Erstunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Reiter Ulrich', 'Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Martin Schlatter', 'Rita Hug', 'Claudia Bühlmann', 'Judith Fürst', 'Gabi Bachmann']",492
Schriftliche Anfrage betreffend Geschwindigkeitskontrollen Tempo-30-Zonen in Au,Anfrage,Beantwortet,2010-09-06,"['Tobias Mani, EVP\n \n Rahel Sonderegger (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger']",493
Schriftliche Anfrage betreffend Baubrachen auf Konzessionsland in Wädenswil,Kleine Anfrage,Beantwortet,2009-12-06,['Willy Rüegg'],['Willy Rüegg'],494
Schriftliche Anfrage betreffend Parkhaus Schulhaus Rotweg,Anfrage,Erledigt,2020-06-04,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",495
Postulat betreffend Vergünstigte E-Bikes dank Sammelbestellung Mengenrabatt,Postulat,Rückzug,2010-04-23,"[' Furrer Astrid', '', 'Thomas Bürge, FDP\n Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Thomas Bürge', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Walter Münch']",496
Postulat betreffend Recycling am Bahnhof und an anderen Plätzen mit grossem Publikumsverkehr,Postulat,Erledigt,2019-06-28,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",497
Interpellation betreffend Sicherheitscheck für Wädenswiler Fussgängerstreifen,Interpellation,Erledigt,2013-12-03,"['Kuno Spirig, BDP']",['Kuno Spirig'],498
Postulat betreffend unentgeltliche Benützung städtischer Infrastruktur für die Jugendarbeit von Wädenswiler Vereine,Postulat,Abgeschrieben,2013-04-03,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",499
Schriftliche Anfrage zur Legislaturreise des Stadtrats 2017,Anfrage,Beantwortet,2017-10-03,"['Hansjörg Schmid (Erstunterzeichner/in)\n Judith Fürst (Zweitunterzeichner/in)', '']","['Hansjörg Schmid', 'Judith Fürst']",500
Interpellation betreffend Abfallentsorgung,Interpellation,Beantwortet,2009-05-14,"['Denise Engel, SP']",['Denise Engel'],501
Schriftliche Anfrage betreffend Raumsituation in den Kindergärten,Kleine Anfrage,Beantwortet,2012-07-09,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",502
Interpellation betreffend Schutzraumplätze für die Wädenswiler Bevölkerung,Interpellation,Erledigt,2022-05-30,"[' Cogliati Bruno', ' Baer Charlotte', ' Hitz Roland', ' Kronauer Marco', ' Rasper Nicolas', ' Rusterholz Marlies', ' Zürrer André', '', 'Sandy Bossert (Mitunterzeichner/in)']","['Cogliati Bruno', 'Baer Charlotte', 'Hitz Roland', 'Kronauer Marco', 'Rasper Nicolas', 'Rusterholz Marlies', 'Zürrer André', 'Sandy Bossert']",503
Postulat betreffend eGovernment: Sicherheitslücken und Datenschutz,Postulat,Erledigt,2017-07-31,"[' Minutella Angelo', '', 'Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']",504
Interpellation betreffend Durchsetzung Tempolimite in Tempo-30-Zonen,Interpellation,Beantwortet,2008-03-27,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],505
Interpellation betreffend Ordnungsbussen bei Littering und Spucken,Interpellation,Beantwortet,2009-04-07,['FDP-Fraktion'],['FDP-Fraktion'],506
Schriftliche Anfrage betreffend Leistungsaufträge am Spital Zimmerberg,Kleine Anfrage,Beantwortet,2007-01-03,['Thomas Hartmann'],['Thomas Hartmann'],507
